CustomerId,TransactionStartTime,Value,Amount,TransactionId,BatchId,SubscriptionId,CurrencyCode,CountryCode,ProviderId,ProductId,ProductCategory,ChannelId,TransactionStatus,IssuedDateLoan,AmountLoan,Currency,LoanId,PaidOnDate,IsFinalPayBack,InvestorId,DueDate,LoanApplicationId,PayBackId,ThirdPartyId,IsThirdPartyConfirmed,IsDefaulted,DaysLate,NumberTransaction,NumberLoan
CustomerId_27,2018-09-21 12:17:00,550.0,-550.0,TransactionId_1683,BatchId_641,SubscriptionId_2,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,0,,,,,,0,,,,,,0,0,0,26,14
CustomerId_27,2018-09-25 09:20:00,550.0,-550.0,TransactionId_2235,BatchId_820,SubscriptionId_2,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,0,,,,,,0,,,,,,0,0,0,26,14
CustomerId_27,2018-09-25 10:33:00,550.0,-550.0,TransactionId_1053,BatchId_210,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,0,,,,,,0,,,,,,0,0,0,26,14
CustomerId_27,2018-09-27 10:26:00,1000.0,-1000.0,TransactionId_2633,BatchId_876,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,0,,,,,,0,,,,,,0,0,0,26,14
CustomerId_27,2018-09-27 12:44:00,500.0,-500.0,TransactionId_71,BatchId_1362,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,0,,,,,,0,,,,,,0,0,0,26,14
CustomerId_27,2018-09-28 12:40:00,500.0,-500.0,TransactionId_930,BatchId_357,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,0,,,,,,0,,,,,,0,0,0,26,14
CustomerId_27,2018-10-03 09:34:00,500.0,-500.0,TransactionId_1381,BatchId_8,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,0,,,,,,0,,,,,,0,0,0,26,14
CustomerId_27,2018-10-17 09:06:00,1235.0,-1235.0,TransactionId_255,BatchId_1082,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_3,airtime,ChannelId_1,0,,,,,,0,,,,,,0,0,0,26,14
CustomerId_27,2018-10-17 12:02:00,1235.0,-1235.0,TransactionId_543,BatchId_1195,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_3,airtime,ChannelId_1,0,,,,,,0,,,,,,0,0,0,26,14
CustomerId_258,2018-10-18 16:11:00,10000.0,-10000.0,TransactionId_1041,BatchId_1970,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,2018-10-18 16:11:00,10016.0,UGX,LoanId_62,2018-10-22 09:13:00,1,InvestorId_3,2018-11-17 16:11:00,,PayBackId_1791,ThirdPartyId_648,0,0,-27,17,17
CustomerId_258,2018-10-18 16:11:00,10000.0,-10000.0,TransactionId_1041,BatchId_1970,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,2018-10-18 16:11:00,584.0,UGX,LoanId_62,2018-10-23 07:34:00,1,InvestorId_3,2018-11-17 16:11:00,,PayBackId_1067,ThirdPartyId_68,0,0,-26,17,17
CustomerId_258,2018-10-18 16:11:00,10000.0,-10000.0,TransactionId_1041,BatchId_1970,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,2018-10-18 16:11:00,100.0,UGX,LoanId_62,2018-10-25 08:58:00,1,InvestorId_3,2018-11-17 16:11:00,,PayBackId_928,ThirdPartyId_1883,0,0,-24,17,17
CustomerId_27,2018-10-19 09:51:00,1030.0,-1030.0,TransactionId_379,BatchId_2253,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_3,airtime,ChannelId_1,0,,,,,,0,,,,,,0,0,0,26,14
CustomerId_233,2018-10-19 10:18:00,5150.0,-5150.0,TransactionId_1598,BatchId_1458,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,2018-10-19 10:18:00,5614.0,UGX,LoanId_22,2018-10-30 06:50:00,1,InvestorId_3,2018-11-18 10:16:00,,PayBackId_647,ThirdPartyId_1484,0,0,-20,42,42
CustomerId_233,2018-10-19 11:01:00,515.0,-515.0,TransactionId_2115,BatchId_1672,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,2018-10-19 11:01:00,544.0,UGX,LoanId_368,2018-10-22 16:11:00,1,InvestorId_3,2018-11-18 11:00:00,,PayBackId_1267,ThirdPartyId_949,0,0,-27,42,42
CustomerId_233,2018-10-22 16:04:00,5000.0,-5000.0,TransactionId_2632,BatchId_775,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,2018-10-22 16:04:00,5375.0,UGX,LoanId_317,2018-10-30 06:49:00,1,InvestorId_3,2018-11-21 16:03:00,LoanApplicationId_1629,PayBackId_1719,ThirdPartyId_1010,0,0,-23,42,42
CustomerId_27,2018-10-22 17:24:00,1000.0,-1000.0,TransactionId_2209,BatchId_2078,SubscriptionId_4,UGX,256,ProviderId_1,ProductId_3,airtime,ChannelId_1,0,,,,,,0,,,,,,0,0,0,26,14
CustomerId_305,2018-10-23 13:12:00,500.0,-500.0,TransactionId_1297,BatchId_2016,SubscriptionId_1,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,2018-10-23 13:12:00,543.0,UGX,LoanId_1619,2018-10-23 13:18:00,1,InvestorId_2,2018-11-22 13:12:00,LoanApplicationId_136,PayBackId_725,ThirdPartyId_1566,0,0,-30,5,5
CustomerId_27,2018-10-23 15:20:00,1000.0,-1000.0,TransactionId_1367,BatchId_1675,SubscriptionId_1,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,2018-10-23 15:20:00,1085.0,UGX,LoanId_1438,2018-10-23 15:26:00,1,InvestorId_2,2018-11-22 15:20:00,LoanApplicationId_1171,PayBackId_1085,ThirdPartyId_1265,0,0,-30,26,14
CustomerId_27,2018-10-23 15:31:00,500.0,-500.0,TransactionId_871,BatchId_2449,SubscriptionId_1,UGX,256,ProviderId_1,ProductId_7,airtime,ChannelId_1,1,2018-10-24 06:34:00,543.0,UGX,LoanId_1304,2018-10-24 06:38:00,1,InvestorId_2,2018-11-23 06:33:00,LoanApplicationId_702,PayBackId_763,ThirdPartyId_1962,0,0,-30,26,14
